word,ran
忠懇的,0.53239496961197
厚道的,0.810852397075933
理智的,0.51362528937989
忠厚的,0.507871225567361
勤勞的,0.051492234562974
勇敢的,0.171930397112925
勤奮的,0.532070474471102
勤儉的,0.80301617135825
幽默的,0.915051747981227
文雅的,0.833245450674986
禮貌的,0.657970582729429
斯文的,0.019311235109547
開朗的,0.869525677346224
直率的,0.751114290732785
耿直的,0.237412532009845
溫柔的,0.964965101515507
賢慧的,0.396966821800274
自重自愛的,0.594252210385061
有思想的,0.47061217515021
大膽的,0.121640213464275
體貼的,0.398399148491512
精力充沛的,0.346914134704931
禮貌的,0.639978191548275
內向的,0.970124860752969
性情平和的,0.710708342867402
謙虛的,0.261691776974398
好學上進的,0.531177960266225
有見解的,0.68493282867287
辦事仔細的,0.54149432021974
細心的,0.321848445104667
務實的,0.139947989058039
善良的,0.783982436848808
老實的,0.040117096949242
沉靜的,0.655299794367101
謙遜的,0.25055595724551
勇挑重擔的,0.586107132758708
善解人意的,0.325706209480267
正直無私的,0.843324984314486
好沉思的,0.433735557668482
充滿熱情的,0.314502244587139
恭順的,0.364192875682401
溫和的,0.786819915181182
謹慎的,0.442579079102432
好心腸的,0.388313498004207
一本正經的,0.126463616068961
敏銳的,0.731379914212962
的,0.884286949641844
專心致志的,0.867424666480141
有冒險精神的,0.468522346506914
愛冒險的,0.209726708449389
善於社交的,0.413837488730287
體貼的,0.157103435282551
生動的,0.152087911513637
高大的,0.035970330196491
平和的,0.53255423350457
含蓄的,0.939515976939038
競爭性的,0.370342175462764
積極的,0.080923615808064
受尊重的,0.380212011579406
尊敬的,0.878221905386024
強壯的,0.058583868365557
的,0.371163538312636
有趣的,0.683737351202654
忠誠的,0.939613985404792
激勵性的,0.153331176307142
生氣勃勃的,0.086759685373926
果斷的,0.268722599161908
意志堅定的,0.191866931733263
發起者的,0.815956595789946
愉快的,0.283567365381144
外向的,0.25188747881616
表情豐富的,0.677312679692218
適應能力強的,0.458225233333112
樂觀的,0.635709069573654
快樂的,0.213285379353536
開心的,0.408260207353695
興奮的,0.197147876213417
執著的,0.18234461851223
衝動的,0.296466300383907
豁達的,0.70912969096832
善良堅強的,0.125348599984014
捨己為人的,0.970056770276996
有能力才幹的,0.302972220618478
寬厚的,0.019372556685521
有合作精神的,0.510685946569545
的,0.608156006249947
有獨創精神的,0.434454326614779
穩健的,0.88200053962139
廉潔的,0.735155685722703
不怕艱險的,0.098934371629111
主動活躍的,0.391366487688646
忠心耿耿的,0.171647907832612
富創造力的,0.448142488287037
守信的,0.868374928322872
客觀實際的,0.061602407266322
孜孜不倦的,0.663943416386443
嚴以律已的,0.042876553270354
愛恨分明的,0.70504993683688
適應性強的,0.025608729558803
寬已待人的,0.814569479354488
有衝勁的,0.167490415076332
忠誠的,0.315917932139862
目明確的,0.566420053254818
大公無私的,0.101737765079533
有進取心的,0.553360469641931
有信心的,0.427455131302054
有奉獻精神的,0.803725969878425
意志堅強的,0.489912112906241
一絲不苟的,0.983456334417786
平易近人的,0.799034876312478
有雄心壯志的,0.970494262792085
認真自覺的,0.495461144012847
可靠的,0.732210740543634
直率真誠的,0.172693934620483
不屈不撓的,0.718838586470846
善交際的,0.976524344043835
高風亮節的,0.285961323961341
和藹可親的,0.059401951141297
虛心的,0.678732758185838
老練的,0.129727505783245
儉樸的,0.599304895887924
嚴守時刻的,0.356676383819917
耐性的,0.298838293598391
獨立的,0.25548395624715
友善的,0.557743906191406
令人高興的,0.105862065734301
自立的,0.273125245642481
深沉的,0.651471007427697
適應力強的,0.700793791267585
音樂性的,0.22962115156206
熱情的,0.600131116846483
活潑的,0.510470930851173
反應快的,0.612258870017441
敏捷的,0.841155580331211
率直的,0.533616403543475
偉大的,0.934118974926024
毅力的,0.705673670792673
精力充沛的,0.686410751858681
健談的,0.364038971102984
機敏的,0.128201277167366
好交際的,0.422945725786417
坐懷不亂的,0.468985886051365
光明正大的,0.119684606414928
有志氣的,0.517997679558975
公正廉明的,0.123024465559161
有抱負的,0.214703035466405
開朗的,0.894453753857511
盡職認真的,0.913765856651292
寬宏大量的,0.164960554136354
可信賴的,0.45876287769424
虛懷若谷的,0.5962198441924
友好的,0.966814870477018
樂觀的,0.886008529615347
守紀律的,0.883142849466398
條理分明的,0.465337646253341
實事求是的,0.985717514035189
無拘束的,0.340464953230723
理想主義的,0.095368605743378
勇敢的,0.737294747143013
自信的,0.730062728438452
滿足的,0.798723303761637
幽默的,0.522017530644133
順服的,0.316663243544034
貫徹始終的,0.06575069633679
親切的,0.108565852243493
好動的,0.89128857788591
興趣廣泛的,0.291422392113696
肯定的,0.351184894499575
深沉的,0.092001788674825
細節的,0.498699950713262
坦率的,0.547387587366985
羞澀的,0.127816954619464
肯定的,0.19100006699797
深沉的,0.388452497009538
細節的,0.641894748313598
貫徹始終的,0.111351514287005
羞澀的,0.584254429451199
喜交朋友的,0.740222954362145
令人信服的,0.464053356407583
